;Perm State University, Perm, Russia, 614990;;;;
257;9;13;0.00450085;56.49810028;29.55960083
258;9;13;0.0108019;56.49990082;29.58729935
259;9;13;0.00810157;56.50120163;29.55310059
260;9;13;0.00270053;56.50389862;29.54669952
261;9;13;0.036907099;56.50559998;29.55680084
262;9;13;0.0243046;56.50510025;29.56459999
263;9;13;0.00990168;56.50510025;29.59720039
264;9;13;0.0036007;56.50529861;29.54969978
265;9;13;0.0090015;56.50569916;29.61429977
266;9;13;0.00450085;56.50630188;29.56800079
267;9;13;0.00720133;56.50640106;29.57519913
268;9;13;0.00270053;56.50699997;29.55130005
269;9;13;0.0153025;56.50730133;29.61330032
270;9;13;0.00900169;56.50770187;29.56819916
271;9;13;0.015303;56.5082016;29.55039978
272;9;13;0.00360068;56.50780106;29.5625
273;9;13;0.00540097;56.50899887;29.58519936
274;9;13;0.0135024;56.5094986;29.58740044
275;9;13;0.0081016;56.50930023;29.54680061
276;9;13;0.00900171;56.50970078;29.56579971
277;9;13;0.045008302;56.51110077;29.57530022
278;9;13;0.054009698;56.51150131;29.58200073
279;9;13;0.0108021;56.51079941;29.55139923
280;9;13;0.00270052;56.51119995;29.55270004
281;9;13;0.016202901;56.51190186;29.58749962
282;9;13;0.00360063;56.51150131;29.59950066
283;9;13;0.00360062;56.51150131;29.59410095
284;9;13;0.0252042;56.51259995;29.60490036
285;9;13;0.00450079;56.51269913;29.59090042
286;9;13;0.0153026;56.51440048;29.60580063
287;9;13;0.00360062;56.51399994;29.59210014
288;9;13;0.023404101;56.51639938;29.58860016
289;9;13;0.0108018;56.51639938;29.6053009
290;9;13;0.00990191;56.51710129;29.56229973
291;9;13;0.0351068;56.51810074;29.55879974
292;9;13;0.00540077;56.52000046;29.65970039
293;9;13;0.0027005;56.52050018;29.57679939
294;9;13;0.0108019;56.52119827;29.58650017
295;9;13;0.00540098;56.52209854;29.58270073
296;9;13;0.00270044;56.52310181;29.6189003
297;9;13;0.0252054;56.52420044;29.51469994
298;9;13;0.00450096;56.5243988;29.50779915
299;9;13;0.035107601;56.52619934;29.50970078
300;9;13;0.025205299;56.52690125;29.52319908
301;9;13;0.0072013;56.52669907;29.58740044
302;9;13;0.00540114;56.52690125;29.52070045
303;9;13;0.00540118;56.52679825;29.50519943
304;9;13;0.00720156;56.52930069;29.50189972
305;9;13;0.017102901;56.53139877;29.60549927
306;9;13;0.0072016;56.53129959;29.49920082
307;9;13;0.00270059;56.53150177;29.50239944
308;9;13;0.0234052;56.5340004;29.49959946
309;9;13;0.050128199;56.53630066;29.57290077
310;9;13;0.120318003;56.54489899;29.5720005
311;9;13;0.0036006;56.54990005;29.61870003
312;9;13;0.0218654;56.55339813;29.68149948
313;9;13;0.050522901;56.55590057;29.55660057
314;9;13;0.0171034;56.55509949;29.54369926
315;9;13;0.0117017;56.55500031;29.65620041
316;9;13;0.00933291;56.55530167;29.68400002
317;9;13;0.00900166;56.55690002;29.57749939
318;9;13;0.00692089;56.55709839;29.67889977
319;9;13;0.00270053;56.55720139;29.54999924
320;9;13;0.00540097;56.55849838;29.58370018
321;9;13;0.027005499;56.55929947;29.54059982
322;9;13;0.00540104;56.55879974;29.56520081
323;9;13;0.00630128;56.56010056;29.53549957
324;9;13;0.00270049;56.56010056;29.58659935
325;9;13;0.088607997;56.56169891;29.63209915
326;9;13;0.00360049;56.56100082;29.67709923
327;9;13;0.00990175;56.56140137;29.59490013
328;9;13;0.044108398;56.56230164;29.56649971
329;9;13;0.0117021;56.56169891;29.59259987
330;9;13;0.0225031;56.56230164;29.67499924
331;9;13;0.143002003;56.56470108;29.55360031
332;9;13;0.0135027;56.56290054;29.54409981
333;9;13;0.0108022;56.56290054;29.52739906
334;9;13;0.00270048;56.56299973;29.59410095
335;9;13;0.144029006;56.56529999;29.53569984
336;9;13;0.00720099;56.56409836;29.67429924
337;9;13;0.021604899;56.56610107;29.49410057
338;9;13;0.0045008;56.56729889;29.59539986
339;9;13;0.069315098;56.56959915;29.50819969
340;9;13;0.00270058;56.56829834;29.51930046
341;9;13;0.0143319;56.56840134;29.67480087
342;9;13;0.00270051;56.56850052;29.5673008
343;9;13;0.121526003;56.57049942;29.52000046
344;9;13;0.00270051;56.56869888;29.57519913
345;9;13;0.157473996;56.57080078;29.54129982
346;9;13;0.109186001;56.57030106;29.56830025
347;9;13;0.00270054;56.56930161;29.53790092
348;9;13;0.00360067;56.57020187;29.57600021
349;9;13;0.00720135;56.57120132;29.57480049
350;9;13;0.00270051;56.57260132;29.55879974
351;9;13;0.00540107;56.5727005;29.55240059
352;9;13;0.099021301;56.57529831;29.51409912
353;9;13;0.00630115;56.57379913;29.58119965
354;9;13;0.052209999;56.57500076;29.56270027
355;9;13;0.00630116;56.57410049;29.57620049
356;9;13;0.00360072;56.57410049;29.54170036
357;9;13;0.0126029;56.57450104;29.48089981
358;9;13;0.145829007;56.57740021;29.54990005
359;9;13;0.00270051;56.57450104;29.56550026
360;9;13;0.00540109;56.5746994;29.54540062
361;9;13;0.00270054;56.5746994;29.54089928
362;9;13;0.00360065;56.57580185;29.58580017
363;9;13;0.00270054;56.57619858;29.54249954
364;9;13;0.065756597;56.57799911;29.56679916
365;9;13;0.00360064;56.5768013;29.59079933
366;9;13;0.045008801;56.57799911;29.55760002
367;9;13;0.00630133;56.57730103;29.52429962
368;9;13;0.080117099;56.57889938;29.51709938
369;9;13;0.309664994;56.5821991;29.52370071
370;9;13;0.00540121;56.57789993;29.49160004
371;9;13;0.169237003;56.58250046;29.5114994
372;9;13;0.00540104;56.57870102;29.56279945
373;9;13;0.00630096;56.57939911;29.64489937
374;9;13;0.00630141;56.57979965;29.49349976
375;9;13;0.00630117;56.58010101;29.57719994
376;9;13;0.031506401;56.5807991;29.53949928
377;9;13;0.0297065;56.58100128;29.50690079
378;9;13;0.00990184;56.58129883;29.57749939
379;9;13;0.0036007;56.58110046;29.55879974
380;9;13;0.00900175;56.58129883;29.55680084
381;9;13;0.0387077;56.58209991;29.55080032
382;9;13;0.0135027;56.58169937;29.54459953
383;9;13;0.00270062;56.58119965;29.49119949
384;9;13;0.00450085;56.58150101;29.57290077
385;9;13;0.0288059;56.58250046;29.53650093
386;9;13;0.010802;56.58280182;29.57530022
387;9;13;0.0108022;56.58269882;29.53179932
388;9;13;0.00810178;56.58269882;29.50119972
389;9;13;0.00360071;56.58259964;29.55750084
390;9;13;0.018903799;56.58359909;29.54770088
391;9;13;0.0162031;56.58359909;29.56559944
392;9;13;0.112767003;56.58570099;29.57729912
393;9;13;0.056712799;56.58580017;29.49279976
394;9;13;0.00900193;56.58530045;29.51460075
395;9;13;0.0027005;56.58539963;29.5673008
396;9;13;0.0063017;56.58589935;29.39550018
397;9;13;0.0162034;56.5862999;29.5291996
398;9;13;0.0135026;56.58670044;29.55380058
399;9;13;0.00503035;56.58649826;29.56760025
400;9;13;0.0180036;56.58760071;29.54369926
401;9;13;0.00540116;56.5870018;29.52759933
402;9;13;0.00360075;56.58720016;29.53210068
403;9;13;1.157330036;56.59389877;29.51390076
404;9;13;0.00270051;56.58750153;29.57060051
405;9;13;0.00810181;56.58850098;29.49869919
406;9;13;0.00630119;56.5890007;29.56889915
407;9;13;0.00360097;56.58919907;29.38879967
408;9;13;0.0036008;56.58940125;29.49819946
409;9;13;0.0108029;56.58959961;29.39660072
410;9;13;0.00540119;56.59059906;29.49710083
411;9;13;0.086416602;56.59270096;29.56189919
412;9;13;0.037458502;56.59189987;29.40530014
413;9;13;0.00630125;56.59220123;29.5529995
414;9;13;0.0576129;56.59320068;29.49640083
415;9;13;0.160879999;56.59609985;29.56959915
416;9;13;0.0342438;56.59560013;29.68709946
417;9;13;0.00720194;56.5945015;29.40209961
418;9;13;0.00270073;56.59460068;29.38969994
419;9;13;0.0369078;56.59579849;29.52689934
420;9;13;0.00270061;56.59489822;29.49340057
421;9;13;0.024305301;56.59590149;29.51189995
422;9;13;0.0137752;56.59690094;29.68250084
423;9;13;0.00360098;56.59609985;29.38979912
424;9;13;0.013503;56.59669876;29.49760056
425;9;13;0.0783213;56.59740067;29.39249992
426;9;13;0.00540147;56.59809875;29.39559937
427;9;13;0.0216041;56.60020065;29.5727005
428;9;13;0.00720138;56.59989929;29.56389999
429;9;13;0.058515701;56.60189819;29.39690018
430;9;13;0.0274527;56.60150146;29.65069962
431;9;13;0.051310498;56.60329819;29.53910065
432;9;13;0.00270073;56.60189819;29.39069939
433;9;13;0.00270059;56.60219955;29.5095005
434;9;13;0.00540103;56.60269928;29.56240082
435;9;13;0.0216041;56.60279846;29.57439995
436;9;13;0.00540106;56.60380173;29.55680084
437;9;13;0.00450097;56.60499954;29.51589966
438;9;13;0.00900244;56.60520172;29.39170074
439;9;13;0.00360096;56.60520172;29.40539932
440;9;13;0.00360096;56.60520172;29.39889908
441;9;13;0.0090024;56.60620117;29.40379906
442;9;13;0.0153028;56.6067009;29.57760048
443;9;13;0.0045012;56.60599899;29.40200043
444;9;13;0.00900104;56.61059952;29.72450066
445;9;13;0.00540063;56.61059952;29.71990013
446;9;13;0.601791978;56.6147995;29.7371006
447;9;13;0.031505801;56.61199951;29.58139992
448;9;13;0.00270031;56.61199951;29.72629929
449;9;13;0.00450047;56.61240005;29.74570084
450;9;13;0.00540052;56.61320114;29.76079941
451;9;13;0.00630104;56.61320114;29.62870026
452;9;13;0.0162044;56.61380005;29.39069939
453;9;13;0.00360102;56.61389923;29.36289978
454;9;13;0.009901;56.61429977;29.74990082
455;9;13;0.00270031;56.61389923;29.72299957
456;9;13;0.00360042;56.61410141;29.72179985
457;9;13;0.00810074;56.61449814;29.77109909
458;9;13;0.00270024;56.61420059;29.76950073
459;9;13;0.00360033;56.61489868;29.76799965
460;9;13;0.00360065;56.61520004;29.59049988
461;9;13;0.00270048;56.61610031;29.58979988
462;9;13;0.00360042;56.61650085;29.71980095
463;9;13;0.377700001;56.62039948;29.55360031
464;9;13;0.050419301;56.61849976;29.75970078
465;9;13;0.0054011;56.61769867;29.53989983
466;9;13;0.0108023;56.61769867;29.5345993
467;9;13;0.067507602;56.6189003;29.72870064
468;9;13;0.00540057;56.61840057;29.74309921
469;9;13;0.286231995;56.62360001;29.72680092
470;9;13;0.00630074;56.62049866;29.71310043
471;9;13;0.00270062;56.62170029;29.47900009
472;9;13;0.00540137;56.62210083;29.43149948
473;9;13;0.0216021;56.62310028;29.75460052
474;9;13;0.056900501;56.62459946;29.38669968
475;9;13;0.00360085;56.62379837;29.47139931
476;9;13;0.018003801;56.625;29.52689934
477;9;13;0.00540114;56.62549973;29.53050041
478;9;13;0.00270068;56.62519836;29.43149948
479;9;13;0.00450115;56.62549973;29.42889977
480;9;13;0.00450114;56.6257019;29.43009949
481;9;13;0.0162041;56.62670135;29.43309975
482;9;13;0.035103898;56.62770081;29.73080063
483;9;13;0.027902801;56.62770081;29.7534008
484;9;13;0.00450106;56.6271019;29.47340012
485;9;13;0.0216053;56.62760162;29.44549942
486;9;13;0.022504801;56.62779999;29.52409935
487;9;13;0.147382006;56.6310997;29.73970032
488;9;13;0.019804301;56.62829971;29.5163002
489;9;13;0.00270028;56.62770081;29.74349976
490;9;13;0.0108022;56.62810135;29.5522995
491;9;13;0.00540111;56.62799835;29.53879929
492;9;13;0.0144036;56.62860107;29.43420029
493;9;13;0.00360038;56.62829971;29.74279976
494;9;13;0.00630154;56.62850189;29.45330048
495;9;13;0.00360092;56.62850189;29.43020058
496;9;13;0.0288029;56.62950134;29.75469971
497;9;13;0.089637503;56.63100052;29.72909927
498;9;13;0.00450046;56.62960052;29.74970055
499;9;13;0.912494004;56.63570023;29.54859924
500;9;13;0.00540131;56.62969971;29.45569992
501;9;13;0.00630159;56.62990189;29.43989944
502;9;13;0.0108018;56.63040161;29.62649918
503;9;13;0.014403;56.63079834;29.52980042
504;9;13;0.0369078;56.63180161;29.5265007
505;9;13;0.00990237;56.63090134;29.46419907
506;9;13;0.00360078;56.63069916;29.51549911
507;9;13;0.0225049;56.63209915;29.51740074
508;9;13;0.0054013;56.63219833;29.46419907
509;9;13;0.0180037;56.63270187;29.5326004
510;9;13;0.032406799;56.63339996;29.52879906
511;9;13;0.00270064;56.63259888;29.46150017
512;9;13;0.018004101;56.63339996;29.49189949
513;9;13;0.00990211;56.63389969;29.5170002
514;9;13;0.00450095;56.63510132;29.52759933
515;9;13;0.00270066;56.63510132;29.4571991
516;9;13;0.0297067;56.63610077;29.49530029
517;9;13;0.00540123;56.63639832;29.49020004
518;9;13;0.00270061;56.63679886;29.48810005
519;9;13;0.009001;56.63729858;29.72739983
520;9;13;0.0225053;56.63790131;29.46579933
521;9;13;0.00360083;56.63759995;29.48839951
522;9;13;0.00360082;56.63880157;29.49150085
523;9;13;0.00270065;56.63909912;29.46419907
524;9;13;0.039103299;56.63999939;29.46069908
525;9;13;0.111597002;56.64049911;29.44869995
